ZIPCODE,owner,full_address,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
02115,"BERKLEE COLLEGE OF MUSIC","CAMBRIA ST, 02115",42.347177,-71.085617,1,street_center,,"Cambria St",,,Boston,MA,"Suffolk County",02115,US,"TIGER/Line® dataset from the US Census Bureau"
02115,"BERKLEE COLLEGE OF MUSIC","167 MASSACHUSETTS AV, 02115",42.34606,-71.08747,1,rooftop,167,"Massachusetts Ave",,,Boston,MA,"Suffolk County",02115,US,"City of Boston"
02115,"BERKLEE COLLEGE OF MUSIC","153 157A MASSACHUSETTS AV, 02115",42.336342,-71.104176,0.33,place,,,,,Boston,MA,"Suffolk County",02115,US,"TIGER/Line® dataset from the US Census Bureau"
02115,"BERKLEE COLLEGE OF MUSIC","159 A165 MASSACHUSETTS AV, 02115",42.336342,-71.104176,0.33,place,,,,,Boston,MA,"Suffolk County",02115,US,"TIGER/Line® dataset from the US Census Bureau"
02115,"BERKLEE COLLEGE OF MUSIC","915 921 BOYLSTON ST, 02115",42.34839,-71.08457,1,rooftop,915-921,"Boylston St",,,Boston,MA,"Suffolk County",02115,US,"City of Boston"
02115,"BERKLEE COLLEGE OF MUSIC","925 925A BOYLSTON ST, 02115",42.34252,-71.644687,0.5,street_center,,A,,,Northborough,MA,"Worcester County",01532,US,"TIGER/Line® dataset from the US Census Bureau"
02215,"BERKLEE COLLEGE OF MUSIC INC","22 FENWAY ST, 02215",42.345969,-71.090032,1,rooftop,22,Fenway,,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02115,"BERKLEE COLLEGE OF MUSIC INC","11-May HAVILAND ST, 02115",42.336342,-71.104176,0.22,place,,,,,Boston,MA,"Suffolk County",02115,US,"TIGER/Line® dataset from the US Census Bureau"
02215,"BERKLEE COLLEGE OF MUSIC INC","1096 1098 BOYLSTON ST, 02215",42.346864,-71.088419,1,rooftop,1096-1098,"Boylston St",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02115,"BERKLEE COLLEGE OF MUSIC INC","11-May HAVILAND ST, 02115",42.336342,-71.104176,0.22,place,,,,,Boston,MA,"Suffolk County",02115,US,"TIGER/Line® dataset from the US Census Bureau"
02115,"BERKLEE COLLEGE OF MUSIC INC","138 MASSACHUSETTS AV, 02115",42.34688,-71.087232,1,rooftop,138,"Massachusetts Ave",,,Boston,MA,"Suffolk County",02115,US,"City of Boston"
02115,"BERKLEE COLLEGE OF MUSIC INC","136 B MASSACHUSETTS AV, 02115",42.347066,-71.087031,0.9,rooftop,136,"Massachusetts Ave",,,Boston,MA,"Suffolk County",02115,US,"City of Boston"
02115,"BERKLEE COLLEGE OF MUSIC INC","136 B MASSACHUSETTS AV, 02115",42.347066,-71.087031,0.9,rooftop,136,"Massachusetts Ave",,,Boston,MA,"Suffolk County",02115,US,"City of Boston"
02115,"BERKLEE COLLEGE OF MUSIC INC","11-May HAVILAND ST, 02115",42.336342,-71.104176,0.22,place,,,,,Boston,MA,"Suffolk County",02115,US,"TIGER/Line® dataset from the US Census Bureau"
02115,"BERKLEE COLLEGE OF MUSIC INC","134 130 MASSACHUSETTS AV, 02115",42.347157,-71.087368,1,rooftop,130,"Massachusetts Ave",,,Boston,MA,"Suffolk County",02115,US,"City of Boston"
02215,"BERKLEE COLLEGE OF MUSIC INC","1106 1110 BOYLSTON ST, 02215",42.346828,-71.08857,1,rooftop,1106-1110,"Boylston St",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02115,"BERKLEE COLLEGE OF MUSIC INC","11-May HAVILAND ST, 02115",42.336342,-71.104176,0.22,place,,,,,Boston,MA,"Suffolk County",02115,US,"TIGER/Line® dataset from the US Census Bureau"
02115,"BERKLEE COLLEGE OF MUSIC INC","168 174 MASSACHUSETTS AV, 02115",42.34615,-71.08689,1,rooftop,168-174,"Massachusetts Ave",,,Boston,MA,"Suffolk County",02115,US,"City of Boston"
02115,"BERKLEE COLLEGE OF MUSIC INC","154 162 MASSACHUSETTS AV, 02115",42.34634,-71.08698,1,rooftop,154-162,"Massachusetts Ave",,,Boston,MA,"Suffolk County",02115,US,"City of Boston"
02115,"BERKLEE COLLEGE OF MUSIC INC","11 BELVIDERE ST, 02115",42.34623,-71.08662,1,rooftop,11,"Belvidere St",,,Boston,MA,"Suffolk County",02115,US,"City of Boston"
02116,"BERKLEE COLLEGE OF MUSIC INC","266 264 COMMONWEALTH AV, 02116",42.350022,-71.08347,1,rooftop,264,"Commonwealth Ave",,,Boston,MA,"Suffolk County",02116,US,"City of Boston"
02116,"BERKLEE COLLEGE OF MUSIC INC","268 272 COMMONWEALTH AV, 02116",42.349945,-71.08371,1,rooftop,268-272,"Commonwealth Ave",,,Boston,MA,"Suffolk County",02116,US,"City of Boston"
02134,"BERKLEE COLLEGE OF MUSIC INC","17 37 FORDHAM RD, 02134",42.351391,-71.128167,1,rooftop,17-37,"Fordham Rd",,,Allston,MA,"Suffolk County",02134,US,"City of Boston"
02115,"BOSTON ARCHITECTURAL COLLEGE","322 NEWBURY ST, 02115",42.348434,-71.085931,1,rooftop,322,"Newbury St",,,Boston,MA,"Suffolk County",02115,US,"City of Boston"
02115,"BOSTON ARCHITECTURAL COLLEGE","320 NEWBURY ST, 02115",42.34846,-71.0858,1,rooftop,320,"Newbury St",,,Boston,MA,"Suffolk County",02115,US,"City of Boston"
02136,"BOSTON BAPTIST COLLEGE","NEW BEDFORD ST, 02136",42.255308,-71.110569,1,street_center,,"New Bedford St",,,"Hyde Park",MA,"Suffolk County",02136,US,"TIGER/Line® dataset from the US Census Bureau"
02136,"BOSTON BAPTIST COLLEGE","NEW BEDFORD ST, 02136",42.255308,-71.110569,1,street_center,,"New Bedford St",,,"Hyde Park",MA,"Suffolk County",02136,US,"TIGER/Line® dataset from the US Census Bureau"
02136,"BOSTON BAPTIST COLLEGE","NEW BEDFORD ST, 02136",42.255308,-71.110569,1,street_center,,"New Bedford St",,,"Hyde Park",MA,"Suffolk County",02136,US,"TIGER/Line® dataset from the US Census Bureau"
02136,"BOSTON BAPTIST COLLEGE","950 METROPOLITAN AV, 02136",42.254,-71.11026,1,rooftop,950,"Metropolitan Ave",,,"Hyde Park",MA,"Suffolk County",02136,US,"City of Boston"
02136,"BOSTON BAPTIST COLLEGE","NEW BEDFORD ST, 02136",42.255308,-71.110569,1,street_center,,"New Bedford St",,,"Hyde Park",MA,"Suffolk County",02136,US,"TIGER/Line® dataset from the US Census Bureau"
02134,"BOSTON UNIVERSITY","899 - 925 COMMONWEALTH AV, 02134",42.351586,-71.116958,0.8,rooftop,899-925,"Commonwealth Ave",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02134,"BOSTON UNIVERSITY","899 - 925 COMMONWEALTH AV, 02134",42.351586,-71.116958,0.8,rooftop,899-925,"Commonwealth Ave",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY","640 COMMONWEALTH AV, 02215",42.34884,-71.10232,1,rooftop,640,"Commonwealth Ave",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY","25 BUICK ST, 02215",42.35196,-71.11523,1,rooftop,25,"Buick St",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY","36 38 CUMMINGTON ST, 02215",42.348692,-71.103544,0.9,range_interpolation,36,"Cummington St",,,Boston,MA,"Suffolk County",02215,US,"TIGER/Line® dataset from the US Census Bureau"
02215,"BOSTON UNIVERSITY","855 - 859 COMMONWEALTH AV, 02215",42.351332,-71.113814,1,rooftop,855,"Commonwealth Ave",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02116,"BOSTON UNIVERSITY","BUICK ST, 02116",42.350579,-71.076397,0.67,place,,,,,Boston,MA,"Suffolk County",02116,US,"TIGER/Line® dataset from the US Census Bureau"
02134,"BOSTON UNIVERSITY","899 - 925 COMMONWEALTH AV, 02134",42.351586,-71.116958,0.8,rooftop,899-925,"Commonwealth Ave",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TR OF","522 514A PARK DR, 02215",42.347593,-71.102934,0.22,place,,,,,Boston,MA,"Suffolk County",02215,US,"TIGER/Line® dataset from the US Census Bureau"
02215,"BOSTON UNIVERSITY TRS","90 BAY STATE RD, 02215",42.34985,-71.09697,1,rooftop,90,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
02215,"BOSTON UNIVERSITY TRS","194 BAY STATE RD, 02215",42.3503,-71.1023,1,rooftop,194,"Bay State Rd",,,Boston,MA,"Suffolk County",02215,US,"City of Boston"
